Date,Region,Cluster,Country,Segment,Sales Amount,Year,Month,Quarter,Is_Q4,Lag_1_Sales,RollingAvg_3M
2023-01-16,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.7151096366985685,2023,1,1,0,4.542199993811586,4.109341484662511
2023-01-16,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.978077713134765,2023,1,1,0,4.7151096366985685,4.745129114548306
2023-01-17,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,4.207816638415172,2023,1,1,0,4.978077713134765,4.633667996082835
2023-01-17,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.712644383773581,2023,1,1,0,4.207816638415172,4.63284624510784
2023-01-17,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.7357873823915675,2023,1,1,0,4.712644383773581,4.552082801526773
2023-01-17,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.014310812844611,2023,1,1,0,4.7357873823915675,4.8209141930032535
2023-01-18,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,2.574202733604225,2023,1,1,0,5.014310812844611,4.1081003096134685
2023-01-19,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.925762740310849,2023,1,1,0,2.574202733604225,3.838092095586562
2023-01-19,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.972713319777653,2023,1,1,0,3.925762740310849,3.824226264564242
2023-01-19,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.288232578652001,2023,1,1,0,4.972713319777653,4.7289028795801675
2023-01-19,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.368718455549877,2023,1,1,0,5.288232578652001,5.209888117993177
2023-01-20,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,3.766105565970154,2023,1,1,0,5.368718455549877,4.807685533390678
2023-01-20,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,3.9360355693998264,2023,1,1,0,3.766105565970154,4.3569531969732855
2023-01-21,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.36378344576865,2023,1,1,0,3.9360355693998264,3.6886415270462103
2023-01-21,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.336288595564617,2023,1,1,0,3.36378344576865,3.8787025369110313
2023-01-21,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.595329478153687,2023,1,1,0,4.336288595564617,4.098467173162319
